region,value,year,indicator
World,8.3,2013,Price per 1gb of mobile data as a percentage of GNI
Developed,1,2013,Price per 1gb of mobile data as a percentage of GNI
Developing,11.6,2013,Price per 1gb of mobile data as a percentage of GNI
LDCs,32.4,2013,Price per 1gb of mobile data as a percentage of GNI
World,4.3,2016,Price per 1gb of mobile data as a percentage of GNI
Developed,0.7,2016,Price per 1gb of mobile data as a percentage of GNI
Developing,6,2016,Price per 1gb of mobile data as a percentage of GNI
LDCs,14.1,2016,Price per 1gb of mobile data as a percentage of GNI
