region,value,year,indicator
North America,11.417,2016,download_speed_mbps_median
North America,11.009,2017,download_speed_mbps_median
Europe,4.133,2012,download_speed_mbps_median
Europe,4.721,2013,download_speed_mbps_median
Europe,5.176,2014,download_speed_mbps_median
Europe,5.662,2015,download_speed_mbps_median
Europe,7.49,2016,download_speed_mbps_median
Europe,7.363,2017,download_speed_mbps_median
South America,1.31,2012,download_speed_mbps_median
South America,1.262,2013,download_speed_mbps_median
South America,0.957,2014,download_speed_mbps_median
South America,1,2015,download_speed_mbps_median
South America,0.805,2016,download_speed_mbps_median
South America,0.367,2017,download_speed_mbps_median
Asia,0.671,2012,download_speed_mbps_median
Asia,0.752,2013,download_speed_mbps_median
Asia,1.041,2014,download_speed_mbps_median
Asia,1.281,2015,download_speed_mbps_median
Asia,1.551,2016,download_speed_mbps_median
Asia,2.082,2017,download_speed_mbps_median
Australia,3.632,2012,download_speed_mbps_median
Australia,3.473,2013,download_speed_mbps_median
Australia,4.497,2014,download_speed_mbps_median
Australia,3.664,2015,download_speed_mbps_median
Australia,3.717,2016,download_speed_mbps_median
Australia,3.528,2017,download_speed_mbps_median
Africa,26.16451933,2017,YoY Change
Asia,34.23597679,2017,YoY Change
Australia,-5.084745763,2017,YoY Change
Europe,-1.695594126,2017,YoY Change
North America,-3.573618289,2017,YoY Change
South America,-54.40993789,2017,YoY Change
